,movie,rating,year
0,Rocketry: The Nambi Effect,8.5,2022
1,Anbe Sivam,8.4,2003
2,Jai Bhim,8.4,2021
3,Nayakan,8.4,1987
4,Hanky Panky,8.4,1979
5,Pariyerum Perumal,8.4,2018
6,777 Charlie,8.4,2022
7,3 Idiots,8.4,2009
8,The World of Apu,8.4,1959
9,Manichithrathazhu,8.3,1993
10,Kumbalangi Nights,8.3,2019
11,Black Friday,8.3,2004
12,Soorarai Pottru,8.3,2020
13,#Home,8.3,2021
14,C/o Kancharapalem,8.3,2018
15,Like Stars on Earth,8.3,2007
16,Kireedam,8.3,1989
17,Dangal,8.3,2016
18,Kaithi,8.3,2019
19,Jersey,8.3,2019
20,96,8.3,2018
21,Mayabazar,8.3,1957
22,Asuran,8.2,2019
23,Thevar Magan,8.2,1992
24,Visaaranai,8.2,2015
25,Sarpatta Parambarai,8.2,2021
26,Natsamrat,8.2,2016
27,Drishyam 2,8.2,2021
28,Thalapathi,8.2,1991
29,Pather Panchali,8.2,1955
30,Nadodikkattu,8.2,1987
31,Sardar Udham,8.2,2021
32,Thani Oruvan,8.2,2015
33,Vada Chennai,8.2,2018
34,Jaane Bhi Do Yaaro,8.2,1983
35,Sita Ramam,8.2,2022
36,Aparajito,8.2,1956
37,Khosla Ka Ghosla!,8.2,2006
38,Drishyam,8.2,2013
39,Peranbu,8.2,2018
40,Raatchasan,8.2,2018
41,Anniyan,8.1,2005
42,Chupke Chupke,8.1,1975
43,Mahanati,8.1,2018
44,Agent Sai Srinivasa Athreya,8.1,2019
45,Premam,8.1,2015
46,Bangalore Days,8.1,2014
47,Satya,8.1,1998
48,Vikram,8.1,2022
49,Super Deluxe,8.1,2019
50,Devasuram,8.1,1993
51,Gangs of Wasseypur,8.1,2012
52,Bhaag Milkha Bhaag,8.1,2013
53,Drishyam,8.1,2015
54,Aruvi,8.1,2016
55,Andhadhun,8.1,2018
56,Vikram Vedha,8.1,2017
57,Chithram,8.1,1988
58,Kannathil Muthamittal,8.1,2002
59,Guide,8.1,1965
60,Iruvar,8.1,1997
61,Tumbbad,8.1,2018
62,Sairat,8.1,2016
63,Shahid,8.1,2012
64,Zindagi Na Milegi Dobara,8.1,2011
65,Paan Singh Tomar,8.1,2012
66,Chhichhore,8.1,2019
67,Mudhalvan,8.1,1999
68,Spadikam,8.1,1995
69,Pudhu Pettai,8.1,2006
70,Swades,8.1,2004
71,Dhuruvangal Pathinaaru,8.1,2016
72,Let's Go! India,8.1,2007
73,Uri: The Surgical Strike,8.1,2019
74,Papanasam,8.1,2015
75,Mandela,8.1,2021
76,Black,8.1,2005
77,Jo Jeeta Wohi Sikandar,8.1,1992
78,Thirst,8.1,1957
79,Munna Bhai M.B.B.S.,8.1,2003
80,Soodhu Kavvum,8.1,2013
81,Article 15,8.1,2019
82,Queen,8.1,2013
83,Kaakkaa Muttai,8.0,2014
84,Lagaan: Once Upon a Time in India,8.0,2001
85,Talvar,8.0,2015
86,PK,8.0,2014
87,Jigarthanda,8.0,2014
88,OMG: Oh My God!,8.0,2012
89,Hera Pheri,8.0,2000
90,Sarfarosh,8.0,1999
91,Theeran Adhigaram Ondru,8.0,2017
92,Udaan,8.0,2010
93,Barfi!,8.0,2012
94,Sholay,8.0,1975
95,Ustad Hotel,8.0,2012
96,The Legend of Bhagat Singh,8.0,2002
97,Virumandi,8.0,2004
98,Baahubali 2: The Conclusion,8.0,2017
99,Angoor,8.0,1982
100,Color It Yellow,8.0,2006
101,Baasha,8.0,1995
102,Jana Gana Mana,8.0,2022
103,Maheshinte Prathikaaram,8.0,2016
104,Masaan,8.0,2015
105,Kahaani,8.0,2012
106,Shershaah,8.0,2021
107,Dil Chahta Hai,8.0,2001
108,A Wednesday,8.0,2008
109,Kaun Pravin Tambe?,8.0,2022
110,Roja,8.0,1992
111,Pithamagan,8.0,2003
112,Iqbal,8.0,2005
113,Pink,8.0,2016
114,"Carry On, Munna Bhai",8.0,2006
115,Nil Battey Sannata,8.0,2015
116,Anand,8.0,1971
117,Lucia,8.0,2013
118,Charulata,8.0,1964
119,Alai Payuthey,8.0,2000
120,Section 375,8.0,2019
121,A Northern Story of Valor,8.0,1989
122,Omkara,8.0,2006
123,Bajrangi Bhaijaan,8.0,2015
124,Bommarillu,8.0,2006
125,Bombay,8.0,1995
126,K.G.F: Chapter 1,8.0,2018
127,Indian,8.0,1996
128,K.G.F: Chapter 2,8.0,2022
129,Rangasthalam 1985,8.0,2018
130,The Great Indian Kitchen,8.0,2021
131,Haider,7.9,2014
132,Mughal-E-Azam,7.9,1960
133,Dilwale Dulhania Le Jayenge,7.9,1995
134,Maanaadu,7.9,2021
135,Athadu,7.9,2005
136,Maqbool,7.9,2003
137,Thadam,7.9,2019
138,Andaz Apna Apna,7.9,1994
139,Special 26,7.9,2013
140,Vaaranam Aayiram,7.9,2008
141,Android Kunjappan Ver 5.25,7.9,2019
142,Padaiyappa,7.9,1999
143,Pelli Choopulu,7.9,2016
144,Gulaal,7.9,2009
145,Ulidavaru Kandanthe,7.9,2014
146,Naduvula Konjam Pakkatha Kaanom,7.9,2012
147,Deewaar,7.9,1975
148,Ugly,7.9,2013
149,Badhaai Ho,7.9,2018
150,Evaru,7.9,2019
151,Kshanam,7.9,2016
152,Vaastav: The Reality,7.9,1999
153,Company,7.9,2002
154,Major,7.9,2022
155,Gully Boy,7.9,2019
156,Padosan,7.9,1968
157,Aadukalam,7.9,2011
158,Maanagaram,7.9,2017
159,Nayattu,7.9,2021
160,Thondi Muthalum Driksakshiyum,7.9,2017
161,Dev.D,7.9,2009
162,My Name Is Khan,7.9,2010
163,Take Off,7.8,2017
164,Pranchiyettan and the Saint,7.8,2010
165,22 Shey Shraban,7.8,2011
166,Kal Ho Naa Ho,7.8,2003
167,Ayyappanum Koshiyum,7.8,2020
168,Dil Bechara,7.8,2020
169,Jab We Met,7.8,2007
170,Manjhi: The Mountain Man,7.8,2015
171,The Brawler,7.8,2017
172,Super 30,7.8,2019
173,Karnan,7.8,2021
174,Arjun Reddy,7.8,2017
175,Deiva Thirumagal,7.8,2011
176,Ship of Theseus,7.8,2012
177,Border,7.8,1997
178,Charlie,7.8,2015
179,Vedam,7.8,2010
180,Baahubali: The Beginning,7.8,2015
181,Pad Man,7.8,2018
182,Salaam Bombay!,7.8,1988
183,Ankhon Dekhi,7.8,2013
184,Jalsaghar,7.8,1958
185,M.S. Dhoni: The Untold Story,7.8,2016
186,Baby,7.8,2015
187,RRR,7.8,2022
188,Vinnaithaandi Varuvaayaa,7.8,2010
189,Malik,7.8,2021
190,Pizza,7.8,2012
191,Kirik Party,7.8,2016
192,The Tashkent Files,7.8,2019
193,Hridayam,7.8,2022
194,Memories,7.8,2013
195,Hindi Medium,7.8,2017
196,Lakshya,7.8,2004
197,English Vinglish,7.8,2012
198,Dor,7.8,2006
199,Hey Ram,7.8,2000
200,Airlift,7.8,2016
201,Johnny Gaddaar,7.8,2007
202,Joseph,7.8,2018
203,Kaakha..Kaakha: The Police,7.8,2003
204,Anjaam Pathiraa,7.8,2020
205,Gangaajal,7.8,2003
206,Vettaiyaadu Vilaiyaadu,7.7,2006
207,Okkadu,7.7,2003
208,Mumbai Police,7.7,2013
209,Pokiri,7.7,2006
210,The Lunchbox,7.7,2013
211,Ab Tak Chhappan,7.7,2004
212,Thuppakki,7.7,2012
213,Oopiri,7.7,2016
214,Unnaipol Oruvan,7.7,2009
215,Manam,7.7,2014
216,Angamaly Diaries,7.7,2017
217,RangiTaranga,7.7,2015
218,Karthikeya 2,7.7,2022
219,Ghilli,7.7,2004
220,Vicky Donor,7.7,2012
221,Secret Superstar,7.7,2017
222,Mother India,7.7,1957
223,Veer-Zaara,7.7,2004
224,Kaththi,7.7,2014
225,Mimi,7.7,2021
226,Sonchiriya,7.7,2019
227,Dia,7.7,2020
228,Rock On!!,7.7,2008
229,Stanley Ka Dabba,7.7,2011
230,Oru CBI Diary Kurippu,7.7,1988
231,Mr. India,7.7,1987
232,Nayak: The Real Hero,7.7,2001
233,Thulladha Manamum Thullum,7.7,1999
234,Udta Punjab,7.7,2016
235,Happy Days,7.7,2007
236,Minnal Murali,7.7,2021
237,Ayirathil Oruvan,7.7,2010
238,Badla,7.7,2019
239,Raazi,7.7,2018
240,Dasvidaniya,7.7,2008
241,Kai Po Che,7.7,2013
242,Poove Unakkaga,7.7,1996
243,Goodachari,7.7,2018
244,Joji,7.7,2021
245,Thiruchitrambalam,7.7,2022
246,Ko,7.7,2011
247,Don,7.7,1978
248,Ennu Ninte Moideen,7.6,2015
249,Velaiyilla Pattathari,7.6,2014
